Genome	12C16O_0h_100_P08_unf_init RPKM	12C16O_0h_100_P14_unf_init RPKM	12C16O_0h_100_P16_unf_init RPKM	12C16O_0h_50_P09_unf_init RPKM	12C16O_0h_50_P10_unf_init RPKM	12C16O_0h_50_P13_unf_init RPKM	12C16O_168h_100_P08_unf_init RPKM	12C16O_168h_100_P14_unf_init RPKM	12C16O_168h_100_P16_unf_init RPKM	12C16O_168h_50_P09_unf_init RPKM	12C16O_168h_50_P10_unf_init RPKM	12C16O_168h_50_P13_unf_init RPKM	12C16O_24h_100_P08_unf_init RPKM	12C16O_24h_100_P14_unf_init RPKM	12C16O_24h_100_P16_unf_init RPKM	12C16O_48h_100_P08_unf_init RPKM	12C16O_48h_100_P14_unf_init RPKM	12C16O_48h_100_P16_unf_init RPKM	12C16O_48h_50_P09_unf_init RPKM	12C16O_48h_50_P10_unf_init RPKM	12C16O_48h_50_P13_unf_init RPKM	12C16O_72h_100_P08_unf_init RPKM	12C16O_72h_100_P14_unf_init RPKM	12C16O_72h_100_P16_unf_init RPKM
H3-18-all-fractions_metab_conc_25.Acidobacteria_57_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_conc_3.Bacteria_68_14	1.1441771	1.0868635	0.8665667	1.4405295	0	1.2040073	1.4382805	1.1193609	1.0102255	1.5409477	0	1.2119716	1.4725615	1.0016108	1.1379222	1.3355027	1.1689595	0.94165003	1.5165085	0	1.0355802	1.4134514	1.1366392	0.95472646
12C18O_48h_100_P16_coass_bin.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_48h_100_P08_coass_bin.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_maxbC_21.Verrucomicrobia_59_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_24h_100_P16_coass_bin.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_P10_coass_bin.13	0	0	0	0	0	0	0	0	0	0	0.8884184	0	0	0.6934849	0.8188462	0	0.80804443	0.62933075	0	1.3590056	0	0	0.5945243	0
12C16O_168h_100_unf_bin.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_conc_17.Alphaproteobacteria_61_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_50_P13_coass_bin.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_unf_bin.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_P16_coass_bin.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-18-all-fractions_metab_conc_57.Sphingobacteriales_44_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_50_unf_bin.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_conc_24.Gemmatimonadetes_68_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_P08_coass_bin.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_P14_coass_bin.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-18-all-fractions_metab_conc_49.Actinobacteria_70_18	1.713607	0	1.4227513	1.8341568	0	0	0	0	0	1.26976	0	0	0	0	0	0	0	0	1.4431155	0	0	0	0	0
12C16O_48h_50_unf_bin.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56326115	0	0	0	0	0
H3-16-all-fractions_conc_58.Chloroflexi_52_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_P14_coass_bin.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_100_unf_bin.25	0	0	0	0	0	0	1.9025364	1.5929173	2.3017652	2.611498	1.737935	2.2048316	0	0.68043786	0.7907884	1.4359565	1.2294608	1.5546281	1.3620558	1.8033268	1.6347452	1.4016864	1.2289928	1.3255734
12C16O_168h_100_P14_coass_bin.3	4.3410406	5.760928	5.459679	4.504765	4.8351927	4.376087	3.0314229	3.3066154	3.353063	2.5991142	2.9465482	2.5780914	3.8850513	4.645448	4.1153393	3.5602293	3.8569639	4.0440807	3.1692014	3.555745	2.8701956	3.4075394	3.7284915	4.2782674
12C16O_168h_50_P09_coass_bin.9	0.7816696	1.1554785	1.124374	0.8257567	1.0517476	1.1546798	6.847801	7.124384	9.719033	7.0027795	5.9084578	6.3318753	2.1542056	2.9111826	3.4420094	3.153984	4.296933	4.203039	3.388658	5.48101	4.2802753	4.2910986	4.720848	4.9224386
12C18O_168h_50_P09_coass_bin.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-18-all-fractions_metab_conc_75.Burkholderiales_69_10	1.5454589	0	1.4208285	0	0	0	5.197981	4.074188	6.964613	5.416013	4.1387444	3.751937	3.563411	3.738429	2.3093886	5.401026	2.7519467	6.188919	4.227072	4.074123	3.7423036	5.7369695	3.460984	5.8396635
12C18O_168h_50_P13_coass_bin.21	0	0	0	0	0.71850616	0.8080592	0.781976	0.8439538	0.955683	0.5079755	1.4878002	1.7785789	0	0.5350078	0.6452257	0	0	0.6441711	0	1.192391	1.4194671	0.60562426	0.68888575	0.70573336
12C16O_48h_50_P10_coass_bin.25	4.270218	6.244401	6.703131	5.5475802	12.923638	6.340251	2.9567058	3.6292	4.085396	2.958936	8.127627	3.987312	3.8140757	5.9065776	4.6712966	3.5532749	4.367779	5.1583676	3.8933036	10.248961	4.432966	3.4079993	4.108238	5.4870424
12C18O_168h_50_P10_coass_bin.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_unf_bin.12	2.5211072	1.7222266	2.5549555	2.3664885	2.2073212	2.469361	3.704838	3.7017221	3.4087968	2.7689435	2.8802013	3.1923823	3.066471	2.8831427	3.6328154	3.041691	3.2837808	2.8111308	2.4249713	2.5248282	2.6878192	3.1402028	3.2443898	3.0121138
12C18O_24h_100_P16_coass_bin.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_P10_coass_bin.6	0	0	0.96937275	1.0400977	1.2426227	0	1.0469962	0.9845192	1.0025527	1.0578201	1.138853	0.9795304	0	1.0355716	1.1508524	0	1.0486292	1.0387568	1.024071	1.2084887	0	0	1.0578021	1.0580742
H3-16-all-fractions_conc_3.Actinobacteria_70_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_P16_coass_bin.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_72h_100_P14_coass_bin.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_unf_bin.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-16-all-fractions_metab_conc_65.Bacteria_66_15	1.4166303	1.0008472	1.0147475	1.0133864	1.2490735	0.83101857	3.0209122	1.9230168	2.0426962	2.2404208	2.4464707	1.4102476	2.3503945	1.5193844	1.6368273	2.38804	1.7659191	1.5714035	1.7633611	2.381034	1.3678226	2.3621743	1.6408644	1.4799669
H2-18-all-fractions_metab_conc_39.Bacteria_66_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-18-all-fractions_metab_84.Actinobacteria_68_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_conc_65.Actinobacteria_69_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-16-all-fractions_metab_conc_28.Actinobacteria_70_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_24h_100_P16_coass_bin.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_10.Actinobacteria_67_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_100_P08_coass_bin.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_100_unf_bin.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_44.Gemmatimonadetes_61_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_50_P10_coass_bin.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-16-all-fractions_metab_conc_1.Actinobacteria_71_32	4.308803	5.009867	3.9167085	4.1644297	3.6251833	4.0669913	3.0255854	2.9429417	2.581029	2.6111245	2.2766883	2.5792081	3.8687696	3.3363194	3.5563185	3.4950943	3.3162088	2.858421	3.128259	2.8085694	2.7211232	3.452459	3.2305841	2.9788914
H3-18-all-fractions_metab_conc_100.Actinobacteria_71_31	5.7182283	6.460698	5.4677005	5.8992233	5.155653	4.6599874	2.8227355	2.6560965	2.5957828	2.9562218	2.6402977	2.5894787	3.9400704	3.550163	3.3556125	3.5423236	3.7669184	3.270313	3.6359181	3.259814	3.0199013	3.487952	2.9823475	3.5822392
12C16O_168h_100_P08_coass_bin.31	1.1288161	1.1628418	0.84189504	1.0727818	0	0	4.284715	2.858719	2.351598	4.122565	1.4867691	1.9752063	1.9280086	1.4573457	1.6520588	2.7708955	2.0213535	2.0117893	2.6434634	1.6834809	1.67464	2.9863112	1.8678762	1.4921589
12C16O_48h_50_P10_coass_bin.30	0.8765391	0	0	1.2267742	0.75713474	0	0	0	0	0.88919985	0.57867676	0	0	0	0	0	0	0	1.0942081	0	0	0	0	0
H2-16-all-fractions_metab_conc_119.Actinobacteria_73_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_unf_bin.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-16-all-fractions_metab_conc_42.Ktedonobacter_racemifer_53_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_56.Chloroflexi_54_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_57.Sphingomonadales_64_21	0	0	0	0	0	0	0	0	0	1.6448388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_unf_bin.24	0	0	0	0	0	0	0	0	0	0	2.6666796	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_24h_100_P14_coass_bin.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_P09_coass_bin.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_conc_101.Burkholderiales_63_22	0	0	0	0	0	0	1.1599432	0.78427076	1.2348304	1.0571511	1.023331	0.88125867	1.1927625	1.3416309	0	1.5365443	0	1.5504389	0.9983151	0.9896329	1.0217359	1.3672645	0.7376381	1.241944
12C18O_48h_100_P08_coass_bin.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_unf_bin.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_P10_coass_bin.28	0.662491	0	0.7168581	0	1.4077371	1.3097407	0	0.72604656	0	0	1.0418233	1.0350599	0	0	0	0	0	0	0	0.9595003	0.8585063	0	0.65882254	0
12C18O_168h_100_P08_coass_bin.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_100_P16_coass_bin.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_P09_coass_bin.5	2.1721056	1.7606889	1.735145	2.411248	1.0586463	1.105268	1.5596566	1.0154479	1.1477257	1.4839324	0.70820993	0	1.7302048	1.4588261	1.1620452	1.6140832	1.1100523	1.2015285	1.5786698	0	0	1.5873284	1.0726168	1.3164829
12C16O_24h_100_P08_coass_bin.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_24h_100_P14_coass_bin.12	1.3350674	1.7900127	1.4221748	0	0	0	1.0833819	1.2850472	1.1644026	0	0.6732802	0	1.518216	1.5382546	1.4498599	1.5030434	1.3663187	1.3707328	0.7434602	0	0	1.4271852	1.4425284	1.3122885
12C18O_168h_50_P09_coass_bin.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-16-all-fractions_conc_50.Massilia_sp__JS1662_67_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_50_P13_coass_bin.4	1.3328899	1.8034284	1.6572156	1.2868531	2.054001	1.2480928	0.9852365	1.0781453	1.1396655	0	1.2751274	0	1.1472031	1.3929482	1.3001856	1.0762776	1.1705052	1.2390146	0.9812314	1.5239286	0	1.017328	1.179716	1.3222817
H1-18-all-fractions_metab_maxb_101.Bacteria_63_9	0.90765685	0	0.72839934	1.0061127	0	0	0.8192772	0	0	0.8293903	0	0	1.0295831	0.8083327	0.6487447	1.0027996	0.6707936	0.7248087	1.0003313	0	0	0.9120734	0.59942895	0.7694047
12C16O_168h_100_P16_coass_bin.6	0	0	0	0	0	0	0	0	0	0	0.7237651	0	0	0.83815503	0.7534829	0	0.7559295	0.76538765	0	0.9191165	0	0	0.6153744	0.6661384
12C16O_48h_100_unf_bin.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_maxb_conc_24.Ktedonobacter_racemifer_50_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_50_unf_bin.40	2.2186995	3.1633587	2.4280725	1.8221287	2.8445063	3.2595398	2.5744324	2.8782914	3.3037083	2.4744375	2.7649248	3.4472258	3.3613472	3.6029103	3.5024989	3.349079	3.3290186	3.871863	3.0053566	3.916767	4.3620553	3.2426362	3.4500918	3.326038
12C18O_48h_100_P08_coass_bin.28	0	0	0	0	0	0	0	0	0.79143584	0	0.59232545	0	0	0.8494612	0	0	0	0	0	0	0	0	0	0.61921906
12C16O_48h_50_P10_coass_bin.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-18-all-fractions_metab_conc_4.Bradyrhizobium_62_18	1.1659441	0	1.2566148	1.1797507	1.2426795	2.1625326	1.498412	1.7294527	1.6043884	1.3917376	1.270203	2.25731	1.4636664	1.3502734	1.5980185	1.4597932	1.5704935	1.4239901	1.3136761	1.4083238	2.1818774	1.518368	1.6138458	1.2689275
12C16O_168h_50_P10_coass_bin.31	7.50825	7.207442	5.6962996	9.183866	4.4261913	4.3341956	3.6916995	3.2443218	2.9054127	5.143268	2.3416455	2.4659238	4.8893094	3.5628498	3.9285007	4.7853465	4.351323	3.3308177	6.346646	3.0635679	2.8861904	4.574786	3.378485	3.8789673
12C16O_24h_100_P08_coass_bin.7	1.6781325	1.4464424	1.1896849	0.8302544	2.8285015	2.1110065	1.7199179	1.4871947	1.3043325	0.9971195	2.6488369	2.0202055	2.152769	1.5185107	1.4298786	2.306644	1.3908681	1.48695	1.2866454	3.3340437	2.1829941	2.254329	1.5703453	1.5088793
12C16O_48h_50_unf_bin.41	2.6579943	3.7922814	3.1105318	2.4386356	4.0119014	3.78	2.1173162	2.5469563	2.2643185	1.8010851	2.7223048	2.612859	2.5580823	2.8132534	2.9281967	2.3853836	2.7153406	2.4523952	2.027118	3.0528772	2.7403843	2.3200579	2.8136837	2.531957
12C16O_168h_100_P08_coass_bin.27	10.623276	14.917147	14.678735	10.701048	13.381151	10.727394	7.236291	8.334858	8.969583	6.196198	7.966559	6.253877	9.323795	12.651313	10.516668	8.608836	10.02629	10.830788	7.5732327	9.649331	6.9751444	8.193088	9.458252	11.509891
12C16O_0h_100_P08_coass_bin.9	1.2184842	0	1.0286521	1.3298584	0.8294273	0.90244967	1.0889146	0.7519744	0.8591609	0.96301836	0.67388356	0.7532803	1.3116016	1.0172623	0.92774236	1.2394994	0.99164873	0.9721077	1.1244214	0	0.75090164	1.1575091	0.8095408	0.8976926
H1-18-all-fractions_metab_conc_103.Sphingomonadales_66_15	0	0	0	0	0	0	2.0747132	1.660706	2.48419	2.4911337	1.1038958	2.0232959	0	0	0	1.1049349	1.0851899	1.2921335	1.2680559	0	1.4870547	1.4461913	1.1750733	1.411268
12C16O_24h_100_P16_coass_bin.6	3.0489085	3.1541922	2.469149	3.6700883	2.075178	2.1551225	1.6815032	1.5755852	1.3763624	2.141789	1.1942365	1.2811977	2.1994557	1.6900359	1.8860505	2.1229193	1.9976184	1.5609887	2.633717	1.5626514	1.4822654	2.0366063	1.6636498	1.7877353
H1-16-all-fractions_metab_conc_21.Actinobacteria_69_13	6.73593	7.0752735	7.2456226	7.067064	5.9847603	5.162279	4.6159906	4.722627	4.4948134	4.2006016	3.6506562	3.2341766	6.477998	6.250262	6.294096	5.9610834	6.102837	5.649967	5.468193	4.514482	3.6337018	5.549526	5.6195674	5.7780976
12C18O_168h_50_P10_coass_bin.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_48h_100_P08_coass_bin.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_100_unf_bin.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_50_P13_coass_bin.5	1.5862902	2.259593	1.6053029	1.4052404	1.9504758	2.2299275	1.8598057	1.999163	2.1770756	1.8568887	1.9094119	2.3137999	2.3832126	2.3726726	2.3829205	2.3694766	2.2728133	2.5340922	2.1476035	2.377434	2.6354842	2.2352512	2.3510854	2.2047446
12C18O_168h_50_P09_coass_bin.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-18-all-fractions_metab_36.Geodermatophilales_73_36	8.543232	11.511776	7.0257087	7.807826	9.226069	9.799132	9.661278	9.501529	9.55767	11.007765	9.148107	10.382909	12.200991	10.5896635	10.503956	12.070248	10.537346	11.091164	13.051802	11.822341	12.349162	11.590658	10.762116	10.064835
12C16O_168h_100_P16_coass_bin.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_metab_140.Gemmatimonadetes_61_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_P16_coass_bin.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_P08_coass_bin.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_conc_33.Sphingomonadales_63_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_P10_coass_bin.29	0.99803907	0	1.1223338	0.67124957	2.3074384	1.8836043	1.2229006	1.2909397	1.5793843	0.99337447	2.412023	2.059036	1.278646	1.2757767	1.4007446	1.4167665	1.3193716	1.6653075	0.9541959	2.775871	2.3188264	1.3797575	1.4509733	1.6461811
H2-16-all-fractions_metab_conc_16.Bacteria_60_11	0	0	0	0	0	0	0.5768454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_50_P10_coass_bin.41	0	0	0	0	0.65299064	0	0	0.74513006	0	0	1.2232122	1.0308044	0	0	0	0	0	0	0	1.1743512	0.96977973	0	0.7261102	0
12C16O_48h_100_P14_coass_bin.1	2.4344158	2.0478394	1.8796597	2.5057762	1.3430632	1.6060956	1.7528162	1.3717548	1.2128257	1.5238469	0.91347444	1.0098968	2.1766417	1.6511643	1.5897202	2.0277712	1.5211781	1.4266479	1.9016869	0	1.1448011	1.9557129	1.4449022	1.4886755
H3-16-all-fractions_metab_43.Acidobacteria_54_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-18-all-fractions_metab_conc_61.Actinobacteria_70_18	2.0715919	2.3395479	1.8221084	1.7964269	1.7050408	1.6970528	1.5314686	1.5406544	1.2079657	1.2107258	1.0871767	1.0919466	2.029317	1.6725454	1.8946025	1.8379284	1.7188816	1.4543474	1.5503482	0	1.2132368	1.7519746	1.7234715	1.4146138
12C16O_0h_50_P09_coass_bin.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_24h_100_unf_bin.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_conc_60.Proteobacteria_70_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_100_P16_coass_bin.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_P13_coass_bin.23	2.5924497	3.5866385	3.6091228	2.397926	4.5363326	2.137318	1.8504084	2.0089097	2.3517077	1.5194458	2.6686313	1.3688898	2.189939	2.9992805	2.579524	2.0742333	2.2480555	2.616019	1.6986433	3.2027032	1.3800763	1.906811	2.23696	2.698184
12C16O_24h_100_P16_coass_bin.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_P10_coass_bin.27	0	0	0	0	0	0	0	0	0	0	1.5390784	0	0	0	0	0	0	0	0	1.7912644	0	0	0	0
H3-16-all-fractions_metab_conc_78.Burkholderia_graminis_63_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_100_P16_coass_bin.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_100_P14_coass_bin.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_50_unf_bin.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_P16_coass_bin.33	2.8951962	1.6959368	5.749598	3.4840567	4.345783	2.4571452	2.6509755	2.7176812	4.686025	2.7586608	3.136627	1.7760432	3.3657362	6.0189285	3.6834438	3.179655	3.275007	6.0164256	3.1995878	3.6301274	2.0215142	2.9322026	3.3954635	5.647284
12C18O_72h_100_P08_coass_bin.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_P10_coass_bin.16	0	0	0.544058	0.8575475	0.8381765	0	0.7862043	0.71268576	0.7328727	1.0006919	0.9834251	0	0.8410738	0.7458027	0.9515535	0.8531051	0.7442553	0.8852368	1.0616533	1.1414874	0	0.7156326	0.76742005	0.7289084
H3-16-all-fractions_metab_conc_126.Actinobacteria_70_0	3.550683	3.4518692	3.6134808	4.524961	2.926522	2.76965	1.3623836	1.9317868	1.292605	1.4748482	1.3082883	1.4903276	2.1465871	1.8585213	2.7131782	1.7641207	2.56003	1.6552533	2.0123403	1.5572966	1.6476938	1.7781256	2.2252142	1.8403449
12C16O_168h_100_unf_bin.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_114.Bacteria_70_8	1.3369136	2.119158	1.4545628	1.4920797	1.3007593	1.9609821	1.6350999	2.0879579	1.7519673	1.7113081	1.3136041	2.2205634	1.5823053	1.6035441	2.0836036	1.514434	1.9490591	1.4977273	1.530977	1.2763441	1.7580477	1.497436	1.9971608	1.5407192
12C16O_168h_50_P09_coass_bin.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_50_P13_coass_bin.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_100_P16_coass_bin.19	0	0	0	0.97624135	0	0	0	0	0	0.694088	0	0	0	0	0	0	0	0	0.8585015	0	0	0	0	0
H3-18-all-fractions_metab_maxbC_83.Verrucomicrobia_60_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_P08_coass_bin.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_72h_100_P14_coass_bin.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_conc_71.Burkholderiales_69_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_conc_97.Actinobacteria_72_48	4.218706	3.9201245	2.6829429	4.1018624	2.7398179	2.6405213	2.2760055	1.7863932	0	2.0755153	0	0	3.2387435	2.0400515	2.2763703	2.8415856	2.3147423	0	2.7426941	0	0	2.799801	1.9793978	1.8246524
12C16O_0h_50_P10_coass_bin.20	2.443869	0	1.274643	3.5188015	1.9070386	0	1.585739	0.71344537	1.1164886	2.469422	1.3816471	0	1.9784482	1.3212482	0.9662563	1.7300624	0.9803242	1.2836962	3.0790708	1.4852042	0	1.7207433	0.8783363	0.9743435
12C18O_168h_100_P14_coass_bin.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_48h_100_P08_coass_bin.18	0	0	0	0	0	0	0	0	0	0.5615687	0	0	0	0	0	0	0	0	0.69537073	0	0	0	0	0
12C18O_168h_50_P13_coass_bin.13	0	0	0	0	0	0	0	0	0	0	0.49721232	0.66426367	0	0	0	0	0	0	0	0	0.52839255	0	0	0
H3-16-all-fractions_metab_130.Bacteria_58_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_metab_conc_60.Gemmatimonadetes_63_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_50_P09_coass_bin.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_50_P09_coass_bin.13	3.4475162	5.238025	2.8896196	4.1380444	3.5326493	5.4671693	3.5080364	4.8699665	3.2476885	4.7740974	3.2293048	4.912139	4.3447595	3.6469765	5.574749	4.386473	5.550908	3.8668842	5.6303883	4.104899	5.843115	4.340047	5.9340854	3.8256416
